Date,Actual,Basic_nn,Complex_nn,xgb,rf,Baseline
85882,8863.23,8210.445,8266.815,8571.029,8749.058776569967,8443.248
85883,8849.15,8285.491,8292.138,8587.703,8792.770948261346,8502.496
85884,8777.13,8363.335,8299.725,8609.461,8724.723890759524,8591.351
85885,8628.47,8289.91,8273.521,8636.879,8670.162279430651,8556.835
85886,8714.02,8198.497,8272.817,8595.075,8656.427734497542,8485.915
85887,8820.83,8174.5737,8290.577,8582.648,8692.18298626596,8382.745
85888,8704.29,8090.4185,8241.704,8421.964,8727.168202275163,8250.045
85889,8432.96,7895.0225,8107.9185,8160.583,8624.334976858385,8032.079
85890,8294.08,7729.196,7971.8984,8037.147,8594.27139558697,7785.5107
85891,8008.26,7648.997,7860.916,7835.379,8624.66315964517,7637.9854
85892,7824.74,7512.583,7704.017,7775.3867,8506.125778819249,7428.503
85893,7572.87,7483.4414,7601.4966,7627.451,8246.883043056094,7387.781
85894,7315.62,7337.302,7440.6064,7469.31,8108.157787252619,7244.531
85895,7169.06,7168.961,7281.9717,7339.6333,8028.411266866121,7095.6743
85896,7028.37,7041.31,6930.0557,7195.926,7927.600897189102,6803.9546
85897,6882.56,6994.3687,6786.72,6987.579,7911.230467244271,6809.322
85898,6675.72,6865.961,6705.715,6776.436,7889.569967793102,6374.6885
85899,6509.74,6749.086,6601.967,6588.3926,7881.990085272249,6208.8306
85900,6433.63,6581.8164,6476.9434,6452.0605,7881.990085272249,6285.318
85901,6337.44,6470.3643,6393.097,6393.0044,7879.179163701813,6052.293
85902,6391.6,6460.438,6367.6777,6386.5234,7879.179163701813,6031.912
85903,6430.49,6444.179,6411.759,6477.388,7879.179163701813,6344.588
85904,6699.06,6561.4004,6493.232,6663.767,7879.179163701813,6469.324
85905,6909.91,7118.6865,6790.4263,6929.5786,7884.710218169327,6955.7095
85906,7506.36,7231.01,7014.654,7356.8423,7884.710218169327,7109.0093
85907,8082.77,7481.318,7471.141,7757.787,7893.313520230521,7434.5234
85908,8525.79,7827.946,8044.632,8220.608,7939.400282633616,7831.698
85909,9019.16,8267.505,8550.028,8677.441,7930.796980572421,8323.696
85910,9284.05,8696.303,8880.257,8982.833,8084.723219552031,8790.71
85911,9491.5,8970.327,9095.454,9337.009,8421.614773120675,9093.085
85912,9730.94,9126.936,9214.94,9610.632,8610.27933306736,9318.557
85913,9878.81,9265.43,9362.796,9827.998,8715.610231059458,9472.929
